sale_date,product_name,product_category,product_description,sale_channel,production_cost,sale_price
31/1/2024,Colombian Comfort,Catimor,Smooth and nutty with a caramel finish,whatsapp,138.61,202.81
15/11/2024,Caramel Creme Dream,Excelsa,Rich and bold with hints of chocolate,web-site,139.47,204.26
1/8/2024,Jamaican Java Joy,Catimor,Light and crisp with a citrus twist,in-store,138.59,193.34
14/4/2024,Morning Blend Magic,Liberica,Dark roast with a smoky undertone,in-store,103.09,134.56
24/6/2024,French Vanilla Fantasy,Liberica,Dark roast with a smoky undertone,in-store,54.13,199.48
23/3/2024,Jamaican Java Joy,Robusta,Light and crisp with a citrus twist,in-store,106.67,30.85
21/6/2024,Hazelnut Heaven,Robusta,Rich and bold with hints of chocolate,instagram,82.87,62.04
13/11/2024,Hazelnut Heaven,Excelsa,Smooth and nutty with a caramel finish,instagram,50.51,92.11
30/7/2024,Caramel Creme Dream,Excelsa,Bright and fruity with floral notes,in-store,145.73,205.68
26/1/2024,Mocha Madness,Excelsa,Bright and fruity with floral notes,in-store,100.83,175.89
31/8/2024,Mocha Madness,Catimor,Dark roast with a smoky undertone,web-site,113.26,103.72
22/4/2024,French Vanilla Fantasy,Robusta,Dark roast with a smoky undertone,web-site,98.42,153.06
3/12/2024,French Vanilla Fantasy,Arabica,Dark roast with a smoky undertone,whatsapp,76.29,98.25
21/9/2024,Espresso Elegance,Liberica,Dark roast with a smoky undertone,whatsapp,45.11,93.07
6/8/2024,Brazilian Beauty,Robusta,Smooth and nutty with a caramel finish,in-store,134.92,186.5
16/1/2024,Ethiopian Excellence,Robusta,Light and crisp with a citrus twist,whatsapp,48.79,190.33
19/1/2024,Guatemalan Gold,Excelsa,Dark roast with a smoky undertone,in-store,138.9,191.17
6/8/2024,Colombian Comfort,Catimor,Rich and bold with hints of chocolate,in-store,57.6,103.61
29/7/2024,Peruvian Perfection,Excelsa,Rich and bold with hints of chocolate,instagram,63.44,182.49
21/4/2024,French Vanilla Fantasy,Excelsa,Rich and bold with hints of chocolate,whatsapp,79.51,133.74
3/3/2024,Guatemalan Gold,Robusta,Light and crisp with a citrus twist,whatsapp,80.74,47.26
14/6/2024,Costa Rican Classic,Catimor,Smooth and nutty with a caramel finish,whatsapp,67.04,166.05
21/2/2024,Guatemalan Gold,Excelsa,Light and crisp with a citrus twist,web-site,114.11,174.72
14/9/2024,Espresso Elegance,Catimor,Rich and bold with hints of chocolate,web-site,94.73,64.73
28/7/2024,Hazelnut Heaven,Catimor,Rich and bold with hints of chocolate,instagram,118.81,154.78
10/3/2024,Caramel Creme Dream,Liberica,Rich and bold with hints of chocolate,instagram,90.44,127.81
22/11/2024,Hazelnut Heaven,Catimor,Rich and bold with hints of chocolate,in-store,60.02,212.04
5/1/2024,Hazelnut Heaven,Liberica,Smooth and nutty with a caramel finish,web-site,73.02,155.79
15/7/2024,Colombian Comfort,Liberica,Smooth and nutty with a caramel finish,whatsapp,29.9,96.54
1/9/2024,Sumatra Sunrise,Robusta,Dark roast with a smoky undertone,instagram,76.89,161.14
31/3/2024,Morning Blend Magic,Robusta,Bright and fruity with floral notes,in-store,58.69,39.43
12/1/2024,Costa Rican Classic,Liberica,Light and crisp with a citrus twist,web-site,114.04,124.89
1/1/2024,Caramel Creme Dream,Robusta,Light and crisp with a citrus twist,web-site,83.39,124.13
13/4/2024,Brazilian Beauty,Liberica,Dark roast with a smoky undertone,web-site,94.16,108.92
28/8/2024,Sumatra Sunrise,Robusta,Light and crisp with a citrus twist,whatsapp,55.62,165.79
26/4/2024,Mocha Madness,Robusta,Dark roast with a smoky undertone,web-site,87.77,147.64
6/10/2024,French Vanilla Fantasy,Robusta,Bright and fruity with floral notes,whatsapp,68.92,197.33
28/2/2024,Guatemalan Gold,Arabica,Light and crisp with a citrus twist,instagram,25.82,193.68
20/4/2024,Jamaican Java Joy,Robusta,Dark roast with a smoky undertone,whatsapp,106.23,52.47
5/1/2024,Brazilian Beauty,Catimor,Light and crisp with a citrus twist,in-store,53.09,45.25
28/8/2024,Ethiopian Excellence,Catimor,Bright and fruity with floral notes,web-site,41.15,58.64
8/6/2024,Mocha Madness,Catimor,Bright and fruity with floral notes,instagram,24.04,55.7
11/11/2024,Hazelnut Heaven,Liberica,Dark roast with a smoky undertone,whatsapp,85.42,115.42
24/2/2024,Peruvian Perfection,Robusta,Bright and fruity with floral notes,instagram,34.98,170.07
22/9/2024,Guatemalan Gold,Excelsa,Bright and fruity with floral notes,whatsapp,37.1,124.4
16/3/2024,French Vanilla Fantasy,Catimor,Smooth and nutty with a caramel finish,in-store,113.54,73.65
4/3/2024,Espresso Elegance,Robusta,Smooth and nutty with a caramel finish,instagram,105.27,147.46
29/2/2024,Espresso Elegance,Liberica,Smooth and nutty with a caramel finish,instagram,122.48,191.24
15/5/2024,Guatemalan Gold,Excelsa,Rich and bold with hints of chocolate,in-store,132.13,97.38
16/9/2024,Brazilian Beauty,Liberica,Smooth and nutty with a caramel finish,in-store,84.47,99.6
18/9/2024,Dark Roast Delight,Catimor,Bright and fruity with floral notes,instagram,133.57,43.09
13/4/2024,French Vanilla Fantasy,Catimor,Smooth and nutty with a caramel finish,web-site,145.34,46.32
25/2/2024,Brazilian Beauty,Liberica,Bright and fruity with floral notes,in-store,130.04,193.42
7/2/2024,Morning Blend Magic,Liberica,Rich and bold with hints of chocolate,in-store,125.01,211.48
30/5/2024,Mocha Madness,Liberica,Bright and fruity with floral notes,in-store,101.27,151.81
14/9/2024,Costa Rican Classic,Catimor,Dark roast with a smoky undertone,in-store,22.56,161.19
24/6/2024,Costa Rican Classic,Catimor,Rich and bold with hints of chocolate,whatsapp,53.35,175.38
21/4/2024,Guatemalan Gold,Robusta,Dark roast with a smoky undertone,web-site,72.06,113.9
14/8/2024,Peruvian Perfection,Liberica,Light and crisp with a citrus twist,instagram,42.26,157.02
9/11/2024,French Vanilla Fantasy,Arabica,Rich and bold with hints of chocolate,whatsapp,119.6,133.02
26/9/2024,Ethiopian Excellence,Liberica,Bright and fruity with floral notes,web-site,113.96,129.63
3/9/2024,Hazelnut Heaven,Liberica,Rich and bold with hints of chocolate,instagram,31.62,155.94
30/11/2024,Hazelnut Heaven,Robusta,Smooth and nutty with a caramel finish,instagram,134.65,30.19
27/8/2024,Espresso Elegance,Excelsa,Light and crisp with a citrus twist,whatsapp,117.15,168.79
23/7/2024,Ethiopian Excellence,Robusta,Light and crisp with a citrus twist,in-store,149.86,106.93
9/8/2024,Hazelnut Heaven,Robusta,Bright and fruity with floral notes,web-site,93.4,122.14
10/11/2024,Peruvian Perfection,Liberica,Rich and bold with hints of chocolate,instagram,113.85,114.63
7/3/2024,Espresso Elegance,Arabica,Light and crisp with a citrus twist,web-site,45.86,103.8
21/4/2024,Ethiopian Excellence,Arabica,Smooth and nutty with a caramel finish,web-site,131.63,90.96
2/12/2024,French Vanilla Fantasy,Catimor,Dark roast with a smoky undertone,web-site,52.01,181.01
4/4/2024,Espresso Elegance,Catimor,Bright and fruity with floral notes,whatsapp,114.81,174.52
26/5/2024,Mocha Madness,Arabica,Rich and bold with hints of chocolate,in-store,64.1,163.95
17/11/2024,Colombian Comfort,Arabica,Dark roast with a smoky undertone,web-site,78.18,180.86
16/5/2024,Jamaican Java Joy,Arabica,Rich and bold with hints of chocolate,in-store,121.92,177.81
29/10/2024,Morning Blend Magic,Liberica,Bright and fruity with floral notes,instagram,99.5,196.85
9/3/2024,Mocha Madness,Liberica,Smooth and nutty with a caramel finish,whatsapp,102.31,212.21
22/11/2024,Brazilian Beauty,Liberica,Dark roast with a smoky undertone,web-site,92.2,135.3
26/11/2024,French Vanilla Fantasy,Excelsa,Smooth and nutty with a caramel finish,in-store,45.96,60.42
17/1/2024,French Vanilla Fantasy,Arabica,Smooth and nutty with a caramel finish,whatsapp,119.52,173.34
20/10/2024,Guatemalan Gold,Catimor,Light and crisp with a citrus twist,web-site,78.02,118.06
4/1/2024,Colombian Comfort,Excelsa,Light and crisp with a citrus twist,web-site,45.8,160.04
13/11/2024,Costa Rican Classic,Arabica,Dark roast with a smoky undertone,whatsapp,113.83,210.24
27/7/2024,Hazelnut Heaven,Catimor,Light and crisp with a citrus twist,in-store,86.49,66.99
6/10/2024,Mocha Madness,Catimor,Rich and bold with hints of chocolate,instagram,137.55,158.16
3/7/2024,Dark Roast Delight,Arabica,Smooth and nutty with a caramel finish,web-site,112.02,136.25
27/2/2024,Espresso Elegance,Excelsa,Bright and fruity with floral notes,web-site,119.55,72.07
11/8/2024,Brazilian Beauty,Liberica,Bright and fruity with floral notes,in-store,120.77,148.87
11/5/2024,Mocha Madness,Robusta,Dark roast with a smoky undertone,whatsapp,60.22,211.58
12/10/2024,Jamaican Java Joy,Liberica,Bright and fruity with floral notes,web-site,120.07,210.24
29/5/2024,Morning Blend Magic,Excelsa,Light and crisp with a citrus twist,whatsapp,31.65,126.88
18/9/2024,Peruvian Perfection,Arabica,Bright and fruity with floral notes,web-site,64.16,42.24
13/7/2024,Costa Rican Classic,Robusta,Light and crisp with a citrus twist,instagram,102.49,142.82
21/5/2024,Jamaican Java Joy,Arabica,Smooth and nutty with a caramel finish,web-site,106.26,181.41
3/8/2024,Morning Blend Magic,Arabica,Dark roast with a smoky undertone,in-store,131.37,84.23
22/1/2024,Peruvian Perfection,Robusta,Dark roast with a smoky undertone,web-site,35.0,76.66
31/1/2024,Espresso Elegance,Excelsa,Smooth and nutty with a caramel finish,in-store,88.43,75.83
19/3/2024,Caramel Creme Dream,Liberica,Light and crisp with a citrus twist,in-store,50.98,163.18
14/9/2024,Colombian Comfort,Arabica,Dark roast with a smoky undertone,in-store,144.34,137.97
28/4/2024,Morning Blend Magic,Excelsa,Light and crisp with a citrus twist,whatsapp,102.05,149.72
28/9/2024,Jamaican Java Joy,Catimor,Dark roast with a smoky undertone,web-site,105.38,76.49
1/11/2024,Jamaican Java Joy,Liberica,Rich and bold with hints of chocolate,instagram,111.69,126.58
7/5/2024,Ethiopian Excellence,Catimor,Smooth and nutty with a caramel finish,whatsapp,75.1,194.01
11/8/2024,Caramel Creme Dream,Liberica,Smooth and nutty with a caramel finish,instagram,23.16,141.57
13/5/2024,Hazelnut Heaven,Liberica,Dark roast with a smoky undertone,in-store,45.63,139.87
31/8/2024,Espresso Elegance,Excelsa,Smooth and nutty with a caramel finish,web-site,67.78,136.35
16/5/2024,Dark Roast Delight,Excelsa,Bright and fruity with floral notes,instagram,36.23,208.4
21/2/2024,Peruvian Perfection,Arabica,Bright and fruity with floral notes,instagram,61.13,158.96
29/5/2024,Jamaican Java Joy,Arabica,Rich and bold with hints of chocolate,web-site,111.5,183.32
1/1/2024,Brazilian Beauty,Arabica,Smooth and nutty with a caramel finish,in-store,66.97,130.75
5/6/2024,Mocha Madness,Catimor,Rich and bold with hints of chocolate,instagram,125.01,160.62
5/3/2024,Jamaican Java Joy,Arabica,Light and crisp with a citrus twist,whatsapp,58.9,63.54
28/12/2024,Caramel Creme Dream,Catimor,Smooth and nutty with a caramel finish,in-store,69.04,102.98
18/5/2024,Jamaican Java Joy,Excelsa,Smooth and nutty with a caramel finish,instagram,32.52,99.39
5/5/2024,Mocha Madness,Liberica,Dark roast with a smoky undertone,in-store,72.37,47.85
23/6/2024,Jamaican Java Joy,Excelsa,Rich and bold with hints of chocolate,in-store,135.85,193.51
22/3/2024,Morning Blend Magic,Robusta,Smooth and nutty with a caramel finish,in-store,78.41,182.34
2/6/2024,Ethiopian Excellence,Robusta,Smooth and nutty with a caramel finish,whatsapp,85.12,64.93
